ExposureContrast,Color ,Autofocus,Texture,Noise,Artifacts,Flash,Zoom,Bokeh,Total,Verification
47,57,41,32,59,41,59,22,25,47,
74,72,81,48,63,59,60,24,25,74,
60,59,77,46,45,38,63,19,15,56,
90,79,78,65,69,82,85,58,55,101,
88,86,96,67,71,66,84,40,50,100,
95,86,98,73,59,64,88,32,45,99,
82,73,94,65,75,68,82,66,45,100,
89,78,74,64,68,73,84,51,55,96,
89,77,83,65,69,83,81,31,23,93,
83,74,88,68,58,49,74,32,20,82,
85,78,75,56,62,75,68,46,50,89,
86,83,90,74,62,65,79,29,20,90,
59,59,40,53,60,42,70,43,25,60,
78,75,73,57,66,65,75,39,15,81,
90,80,98,70,65,50,81,24,30,90,
74,77,69,45,52,59,64,22,25,70,
84,81,74,54,64,78,68,35,25,85,
91,81,91,67,79,62,86,65,50,104,
85,71,94,54,67,48,75,30,25,82,
85,86,93,66,60,56,87,33,40,92,
79,75,69,67,61,67,88,23,40,84,
82,79,77,67,66,68,71,35,25,87,
67,74,65,49,66,54,62,25,25,70,
75,69,62,55,61,51,70,23,35,72,
86,75,89,58,73,68,69,50,50,94,
74,76,73,57,71,31,75,28,30,74,
